,Name,Address,Postcode,Distance
0,The General Staff (Главный штаб),"Дворцовая пл., 6-8",none,205
1,Hermitage Museum (Государственный Эрмитаж),"Дворцовая наб., 34",191186,283
2,The New Hermitage (Новый Эрмитаж),"КОВЕНСКИЙ пер., 22 ЛИТЕР А",none,351
3,The Admiralty Building (Адмиралтейство),"Адмиралтейский Пр., 1",none,242
4,Всероссийский Музей А.С.Пушкина (Музей-квартира А. С. Пушкина),"Наб. Реки Мойки, д. 12",191186,502
5,Russian Museum (Benois Wing) (Русский музей (Корпус Бенуа)),"наб. Канала Грибоедова, 2",191011,819
6,Part of the Winter Palace of Peter the Great (Зимний дворец Петра I),"Дворцовая наб., 32",191186,493
7,Russian Museum (Русский музей),"Инженерная Ул., д. 4",191186,1012
8,Small Hermitage (Малый Эрмитаж),"Дворцовая наб., 36",none,347
9,Дом ученых им. М. Горького,"Дворцовая наб., 26",191186,613
