 country,capital,membership_un,sovereignty_dispute_info,country_status,demonym
Bosnia and Herzegovina,Sarajevo,UN member state,None,Bosnia and Herzegovina has two constituent,
Burundi,Gitega,UN member state,None,,Burundian
Burkina Faso,Ouagadougou,UN member state,None,,
Brunei,Bandar Seri Begawan,UN member state,None,,Bruneian
Bolivia,Sucre,UN member state,None,,Bolivian
Botswana,Gaborone,UN member state,None,,
Bulgaria,Sofia,UN member state,None,Member of the EU.,
Cambodia,Phnom Penh,UN member state,None,,
Brazil,Brasília,UN member state,None,Brazil is a,Brazilian
Benin,Porto-Novo,UN member state,None,,
Bhutan,Thimphu,UN member state,None,,Bhutanese
Belize,Belmopan,UN member state,None,Belize is a,Belizean
Barbados,Bridgetown,UN member state,None,,
Belgium,Brussels,UN member state,None,Member of the EU.,
Belarus,Minsk,UN member state,None,Many states,Belarusian
Zimbabwe,Harare,UN member state,None,,
Yemen,Sanaa,UN member state,None,,Yemeni
Vatican City,city-state,,None,Administered by the,
Venezuela,Caracas,UN member state,None,Venezuela is a,Venezuelan
Vanuatu,Port Vila,UN member state,None,,Ni-Vanuatu
Vietnam,Hanoi,UN member state,None,,Vietnamese
Uruguay,Montevideo,UN member state,None,,Uruguayan
Uzbekistan,Tashkent,UN member state,None,"Uzbekistan contains one autonomous region,",Uzbekistani
Tuvalu,Funafuti,UN member state,None,Tuvalu is a,Tuvaluan
Turkmenistan,Ashgabat,UN member state,None,,
United Arab Emirates,Abu Dhabi,UN member state,None,The United Arab Emirates is a,Emirati
Tunisia,Tunis,UN member state,None,,Tunisian
Trinidad and Tobago,Port of Spain,UN member state,None,"Trinidad and Tobago contains one autonomous region,",
Tonga,Nukuʻalofa,UN member state,None,,Tongan
Turkey,Ankara,UN member state,None,,
Togo,Lomé,UN member state,None,,Togolese
Syria,Damascus,UN member state,None,The,Syrian
Tajikistan,Dushanbe,UN member state,None,"Tajikistan contains one autonomous region,",
Switzerland,Zürich,UN member state,None,Switzerland is a,
Uganda,Kampala,UN member state,None,,Ugandan
Sweden,Stockholm,UN member state,None,Member of the EU.,
Suriname,Paramaribo,UN member state,None,,Surinamese
Spain,Madrid,UN member state,None,Member of the EU.,
Sudan,Khartoum,UN member state,None,Sudan is a,Sudanese
Sri Lanka,Colombo,UN member state,None,,Sri Lankan
South Sudan,Juba,UN member state,None,South Sudan is a,South Sudanese
Ukraine,Kyiv,UN member state,None,"Ukraine contains one autonomous region, the",Ukrainian
Somalia,Mogadishu,UN member state,None,Somalia is a federation of,Somali
Solomon Islands,Honiara,UN member state,None,Solomon Islands is a,
South Africa,parliamentary republic with an executive presidency,UN member state,None,,
United Kingdom,London,UN member state,None,The United Kingdom is a,
United States,"Washington, D.C.",UN member state,None,The United States is a,American
Slovenia,Ljubljana,UN member state,None,Member of the EU.,
South Korea,Seoul,UN member state,Claimed by,"South Korea has one autonomous region,",
Slovakia,Bratislava,UN member state,None,Member of the EU.,Slovak
Seychelles,Victoria,UN member state,None,,
Tanzania,Dodoma,UN member state,None,"Tanzania contains one autonomous region,",Tanzanian
Serbia,Belgrade,UN member state,None,"Serbia contains two autonomous regions,",Serbian
Singapore,city-state,UN member state,None,,Singaporean
Sierra Leone,Freetown,UN member state,None,,Sierra Leonean
Senegal,Dakar,UN member state,None,,Senegalese
Thailand,Bangkok,UN member state,None,,Thai
São Tomé and Príncipe,São Tomé,UN member state,None,"São Tomé and Príncipe contains one autonomous province,",
Saudi Arabia,Riyadh,UN member state,None,,
Samoa,Apia,UN member state,None,,Samoan
Saint Vincent and the Grenadines,Kingstown,UN member state,None,Saint Vincent and the Grenadines is a,Vincentian and Grenadinian
Saint Lucia,Castries,UN member state,None,Saint Lucia is a,Saint Lucian
Romania,Bucharest,UN member state,None,Member of the EU.,Romanian
San Marino,San Marino,UN member state,None,,Sammarinese
Saint Kitts and Nevis,Basseterre,UN member state,None,Saint Kitts and Nevis is a,
Rwanda,Kigali,UN member state,None,,
Qatar,Doha,UN member state,None,,Qatari
Russia,Moscow,UN member state,None,Russia is a,Russian
Portugal,Lisbon,UN member state,None,Member of the EU.,Portuguese
Panama,Panama City,UN member state,None,,Panamanian
Papua New Guinea,Port Moresby,UN member state,None,Papua New Guinea is a,Papua New Guinean
Poland,Warsaw,UN member state,None,Member of the EU.,
Paraguay,Asunción,UN member state,None,,Paraguayan
Peru,Lima,UN member state,None,,Peruvian
Philippines,Manila,UN member state,None,"The Philippines contains one autonomous region,",Filipino
Palestine,UN observer state,,.,"The State of Palestine, declared in 1988, is not recognised as a state by Israel but has received diplomatic recognition from",Palestinian
Palau,Ngerulmud,UN member state,None,Under,Palauan
Pakistan,Islamabad,UN member state,None,Pakistan is a,Pakistani
Norway,Oslo,UN member state,None,Norway has two,Norwegian
Oman,Muscat,UN member state,None,,Omani
North Korea,Pyongyang,UN member state,Claimed by,"North Korea is not recognised by one UN member,",
North Macedonia,Skopje,UN member state,None,,
New Zealand,Wellington,UN member state,None,New Zealand is a,
