"annotation_id","annotator","created_at","date","favorites","hashtags","id","is_retweet","lead_time","retweets","sentiment","source","text","updated_at","user_created","user_description","user_favourites","user_followers","user_friends","user_location","user_name","user_verified"
1,"1","2024-06-02T08:15:35.428862Z","2021-01-13 01:30:05",0,"['AstraZeneca', 'CovidVulnerable', 'PfizerBioNTech']",1349166797107257345,False,65.17099999999999,0,"other","Twitter Web App","#AstraZeneca at 62 per cent efficacy, it leaves many people #CovidVulnerable. Consider this #PfizerBioNTech at 95 p… https://t.co/TrKZCrjHJi","2024-06-02T08:22:23.037548Z","2009-05-30 04:06:07","Environmental and political issues. 

Social distancing and self isolating old codger.",144170,1697,4996,"North East Tasmania","Grumpy Old Antifa",False
11,"1","2024-06-02T08:17:56.526082Z","2021-05-26 05:00:00",1,"['MashableSEA', 'Science', 'Study', 'PfizerBioNTech', 'AstraZeneca']",1397417209723604995,False,10.591000000000001,1,"other","Twitter Web App","Promising. 🤔
#MashableSEA #Science #Study #PfizerBioNTech #AstraZeneca 

https://t.co/uOlJXFW3kG","2024-06-02T08:22:32.720810Z","2015-04-23 13:40:52","News, inspiration, and fun for the connected generation in SEA. 

Follow us on...
Facebook: https://t.co/bP7gsSUVT0
Instagram: https://t.co/CgxoDczLAv",59,4261,30,"Malaysia","Mashable Southeast Asia",True
2,"1","2024-06-02T08:15:53.122238Z","2020-12-17 22:53:44",13,"['Coronavirus', 'PfizerBioNTech', 'SouthLakeTahoe']",1339705366595076097,False,9.629,3,"1th dose","Twitter Web App","First #Coronavirus doses of #PfizerBioNTech  vaccine arrived in #SouthLakeTahoe today. @BartonHealth to start with… https://t.co/3dQa5S3yK1","2024-06-02T08:22:37.791012Z","2011-05-03 18:25:47","News and Information about South Lake Tahoe and surrounding area.",3031,6910,922,"South Lake Tahoe, CA","South Tahoe Now",False
7,"1","2024-06-02T08:17:08.473034Z","2020-12-31 12:21:34",0,"['couplegoals', 'CovidVaccine']",1344619707253583879,False,10.156,0,"other","Twitter Web App","Ok...WOW. Also, these are major #couplegoals right here. On a quest to do some good together. #CovidVaccine… https://t.co/mMcazy7HCJ","2024-06-02T08:22:54.297460Z","2011-10-16 08:26:43","Pakistani Muslim. Doctor. Blogger. 
https://t.co/RYgNChTCYK
https://t.co/VhIncqC8Wz
#FRIP. Research Associate @AKUGlobal",1296,254,682,"Karachi, Pakistan","Butool Hisam",False
3,"1","2024-06-02T08:16:14.387531Z","2020-12-18 23:34:28",0,"",1340078004421206016,False,18.071,0,"other","Twitter for iPad","@senatemajldr the Pfizer mRNA vaccine is derived from fetal stem cells.  Any of you pro-life hypocrites are prohibi… https://t.co/OkZo1uZQnH","2024-06-02T08:23:18.364181Z","2017-02-06 21:57:49","",7540,108,315,"","power to the people",False
6,"1","2024-06-02T08:17:04.391989Z","2021-01-16 04:21:01",9,"['CovidVaccine']",1350296977276342272,False,11.309000000000001,0,"negative","Twitter for iPhone","Shot #1 in the 📚! (I think I am legally obligated to post a pic, otherwise it won’t work 🤨) #CovidVaccine… https://t.co/wlW9g2lBic","2024-06-02T08:23:25.434772Z","2015-04-21 14:08:52","Infectious diseases pharmacist and avid photographer. All views are my own.",6690,299,539,"Franklin, TN","Ben Ereshefsky",False
5,"1","2024-06-02T08:16:57.374541Z","2021-01-17 18:15:43",26,"['Jab', 'PfizerBioNTech']",1350869423524077568,False,8.175,2,"1th dose","Twitter for Android","Waiting with mum now she's had a first jab. #Jab #PfizerBioNTech 
Very effective co ordination at surgery. Voluntee… https://t.co/3oe01amoWN","2024-06-02T08:23:32.146326Z","2020-04-05 23:13:29","Presenter @LBC and musings",1471,2274,206,"","Denise Headley",False
4,"1","2024-06-02T08:16:52.455406Z","2021-03-21 10:28:59",1,"['US', 'AstraZeneca']",1373582403608973319,False,25.174,0,"negative","Twitter for Android","And why does the #US only offers as assistance the embattled #AstraZeneca vaccine, and NOT the much-sought, most -e… https://t.co/egLGsvAnOS","2024-06-02T08:23:59.657726Z","2012-05-17 11:11:07","Journalist | Ag Editor | Coffee lover | Worked at @daily_trust & Peoples Daily | @KMUIIE fellow | Views = Personal",12861,986,1026,"Abuja","iksule",False
8,"1","2024-06-02T08:17:13.757011Z","2021-02-24 16:16:57",0,"['PfizerBioNTech']",1364610274112598020,False,5.964,0,"1th dose","Twitter for iPhone","First dose of #PfizerBioNTech COVID-19 vaccine this morning. 👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿 Took it like a champ!!🥇💉 Phase 1B in Mari… https://t.co/zWEbR2YZMm","2024-06-02T08:24:04.283381Z","2010-03-22 16:24:52","KY bred; CA expat; Fashion lover, gardener, singer, nuts about nutrition, endurance swimmer, 2! #MaskUp #BlueWave 🌊#TheResistance #DontBooVote",40249,2075,3953,"New River, Arizona","Vickie Harwood",False
9,"1","2024-06-02T08:17:19.392930Z","2021-03-03 21:50:32",0,"['Covid_19']",1367230939005288450,False,11.309999999999999,0,"other","Twitter Web App","How does the Johnson &amp; Johnson vaccine compare to other coronavirus vaccines? https://t.co/iyXmOdV6ob #Covid_19… https://t.co/OpD2hTmRlV","2024-06-02T08:24:14.849813Z","2008-09-04 22:18:48","Michael McCarthy: Editor LocalHealthGuide an online health news website that focuses on local health news in the Seattle area",185,1150,1017,"Seattle","LocalHealthGuide",False
